title,summary,image
Main Page,,https://upload.wikimedia.org/wikipedia/commons/9/9e/Annita_Demetriou_visits_Ireland%2C_June_2023_01_%28cropped%29_%28cropped%29.jpg
Hyphen-minus,"The symbol -, known in Unicode as hyphen-minus, is the form of hyphen most commonly used in digital documents. On most keyboards, it is the only character that resembles a minus sign or a dash, so it is also used for these. The name hyphen-minus derives from the original ASCII standard, where it was called hyphen (minus). The character is referred to as a hyphen, a minus sign, or a dash according to the context where it is being used.",https://upload.wikimedia.org/wikipedia/en/9/96/Symbol_category_class.svg
Undefined,Undefined may refer to:,https://upload.wikimedia.org/wikipedia/en/5/5f/Disambig_gray.svg
United States Senate,"The United States Senate is a chamber of the bicameral United States Congress; it is the upper house, and the U.S. House of Representatives is the lower house. Together, the Senate and House have the authority under Article One of the Constitution to make and pass or defeat federal legislation. The Senate has exclusive power to confirm U.S. presidential appointments, to approve or reject treaties, and to convict or exonerate impeachment cases brought by the House. The Senate and the House provide a check and balance on the powers of the executive and judicial branches of government. The composition and powers of the Senate are established by Article One of the U.S. Constitution, which has been in effect since March 4, 1789. Each of the 50 states is represented by two senators who serve staggered six-year terms, for a total of 100 members. From its inception in 1789 until 1913, senators were appointed by the state legislatures of their respective states. Since 1913, however, following ratification of the Seventeenth Amendment, senators have been elected by statewide popular vote. The Senate has several powers of advice and consent. These include the approval of treaties, the confirmation of Cabinet secretaries, federal judges (including justices of the Supreme Court), flag officers, regulatory officials, ambassadors, other federal executive officials, and federal uniformed officers. If no candidate receives a majority of electors for vice president, the duty falls to the Senate to elect one of the top two recipients of electors to that office. The Senate conducts trials of officials who have been impeached by the House. The Senate has been considered both a more deliberative and prestigious body than the House of Representatives due to its longer terms, smaller size, and statewide constituencies, which historically led to a more collegial and less partisan atmosphere. The Senate chamber is located in the north wing of the Capitol Building in Washington, D.C., the nation's capital. Despite not being a senator, the vice president of the United States serves as ex officio presiding officer and president of the Senate; the vice president may vote only if the Senate is equally divided. In the vice president's absence, the president pro tempore, who is traditionally the most senior member of the Senate majority party, presides over the Senate, and more often by rule allows a junior senator to take the chair, guided by the parliamentarian. In the early 1920s, the practice of majority and minority parties electing their floor leaders began. The Senate's legislative and executive business is managed and scheduled by the Senate majority leader, who, on occasion, negotiates some matters with the Senate minority leader. A characteristic practice in the Senate is the filibuster on some matters and its remedy, the vote on cloture.",https://upload.wikimedia.org/wikipedia/commons/0/02/119th_United_States_Senate.svg
YouTube,"YouTube  is an American online video sharing platform owned by Google. YouTube was founded on February 14, 2005, by Chad Hurley, Jawed Karim, and Steve Chen who were all former employees at PayPal. Headquartered in San Bruno, California, it is the second-most-visited website in the world, after Google itself. In January 2024, YouTube had reached more than 2.7 billion monthly active users, who collectively watched more than one billion hours of video every day. As of May 2019, videos were being uploaded to the platform at a rate of more than 500 hours of video per minute, and as of mid-2024, there were approximately 14.8 billion videos in total. On November 13, 2006, YouTube was purchased by Google for 1.65 billion USD (equivalent to $2.44 billion in 2025). Google expanded YouTube's business model from generating revenue through advertisements alone to paid offerings such as movies and exclusive programming explicitly produced for YouTube. It also offers YouTube Premium, a paid subscription option for watching videos without ads. YouTube incorporated the Google AdSense program, generating more revenue for both YouTube and approved users. In 2023, YouTube's advertising revenue totaled $31.7 billion, a 2% increase from the $31.1 billion reported in 2022. From Q4 2023 to Q3 2024, YouTube's combined revenue from advertising and subscriptions exceeded $50 billion. Since its purchase by Google, YouTube has expanded beyond the core website, creating mobile apps, network television, games, and the ability to link with other platforms. Video categories on YouTube include music videos, video clips, news, short and feature films, songs, documentaries, movie trailers, teasers, TV spots, live streams, vlogs, and more. Most submissions are generated by individuals, including collaborations between YouTubers and corporate sponsors. Established media, news, and entertainment corporations have also created and expanded their visibility on YouTube channels to reach bigger audiences. YouTube has had unprecedented social impact, influencing popular culture, internet trends, and creating multimillionaire celebrities. Despite its growth and success, the platform has been criticized for its facilitation of the spread of misinformation and copyrighted material, routinely violating its users' privacy, excessive censorship, endangering the safety of children and their well-being, and for its inconsistent implementation of platform guidelines.",https://upload.wikimedia.org/wikipedia/commons/d/da/2017-_Top_earners_on_YouTube_-_column_chart.svg
Wiki,"A wiki (  WIK-ee) is a form of hypertext publication on the internet which is collaboratively edited and managed by its audience directly through a web browser. A typical wiki contains multiple pages that can either be edited by the public or limited to use within an organization for maintaining its internal knowledge base. The name derives from the first user-editable website called WikiWikiWeb – wiki being a Hawaiian word meaning 'quick' (pronounced [ˈviti]). Wikis are powered by wiki software, also known as wiki engines. Being a form of content management system, these differ from other web-based systems such as blog software or static site generators in that the content is created without any defined owner or leader. Wikis have little inherent structure, allowing one to emerge according to the needs of the users. Wiki engines usually allow content to be written using a lightweight markup language and sometimes edited with the help of a rich-text editor. There are dozens of different wiki engines in use, both standalone and part of other software, such as bug tracking systems. Some wiki engines are free and open-source, whereas others are proprietary. Some permit control over different functions (levels of access); for example, editing rights may permit changing, adding, or removing material. Others may permit access without enforcing access control. Further rules may be imposed to organize content. In addition to hosting user-authored content, wikis allow those users to interact, hold discussions, and collaborate. There are hundreds of thousands of wikis in use, both public and private, including wikis functioning as knowledge management resources, note-taking tools, community websites, and intranets. Ward Cunningham, the developer of the first wiki software, WikiWikiWeb, originally described wiki as ""the simplest online database that could possibly work"".  The online encyclopedia project Wikipedia is the most popular wiki-based website, as well being one of the internet's most popular websites, having been ranked consistently as such since at least 2007. Wikipedia is not a single wiki but rather a collection of hundreds of wikis, with each one pertaining to a specific language, making it the largest reference work of all time. The English-language Wikipedia has the largest collection of articles, standing at 7,186,959 as of May 2026.",https://upload.wikimedia.org/wikipedia/commons/f/f0/Wikitext-wiki_markup-wikipedia.png
Facebook,"Facebook is an American social networking service owned by the American technology conglomerate Meta Platforms. It was founded in 2004 by Mark Zuckerberg, along with his Harvard College roommates and fellow students Eduardo Saverin, Andrew McCollum, Dustin Moskovitz, and Chris Hughes. The name Facebook derives from the face book directories often given to American university students. The service was initially limited to Harvard students before gradually expanding to other universities in North America. Since 2006, Facebook has permitted registration by individuals aged 13 and older, with the exception of South Korea, Spain, and Quebec, where the minimum age is 14. As of December 2023, Facebook reported approximately 3.07 billion monthly active users worldwide. As of July 2025, it was ranked as the third-most-visited website in the world, with 23 percent of its traffic originating from the United States. It was the most downloaded mobile application of the 2010s. Facebook can be accessed from devices with Internet connectivity, such as personal computers, tablets and smartphones. After registering, users can create a profile revealing personal information about themselves. They can post text, photos and multimedia which are shared either publicly or exclusively with other users who have agreed to be their friend, depending on privacy settings. Users can also communicate directly with each other with Messenger, edit messages (within 15 minutes after sending), join common-interest groups, and receive notifications on the activities of their Facebook friends and the pages they follow. Facebook has often been criticized over issues such as user privacy (as with the Facebook–Cambridge Analytica data scandal), political manipulation (as with the 2016 U.S. elections) and mass surveillance. The company has also been subject to criticism over its psychological effects such as addiction and low self-esteem, and over content such as fake news, conspiracy theories, copyright infringement, and hate speech. Commentators have accused Facebook of willingly facilitating the spread of such content, as well as overemphasizing its number of users to appeal to advertisers.",https://upload.wikimedia.org/wikipedia/commons/2/27/2011_Egyptian_protests_Facebook_%26_jan25_card.jpg
United States,"The United States of America (USA), also known as the United States (U.S.) or America, is a country primarily located in North America. It is a federal republic consisting of 50 states and a federal capital district, Washington, D.C. The 48 contiguous states border Canada to the north and Mexico to the south, with the semi-exclave of Alaska in the northwest and the archipelago of Hawaii in the Pacific Ocean. The United States also asserts sovereignty over five major island territories and various uninhabited islands in Oceania and the Caribbean. It is a megadiverse country, with the world's third-largest land area and third-largest population, exceeding 341 million. Paleo-Indians first migrated from North Asia to North America at least 15,000 years ago, and formed various civilizations. European discovery of the Americas began in 1492, and British colonization followed with the 1607 settlement of Virginia, the first of the Thirteen Colonies. Enslavement of Africans was practiced in every colony and supplied most of the labor for the Southern Colonies' plantation economy. The American Enlightenment that spread throughout the colonies in the 18th century valued republicanism and liberalism. Clashes with the British Crown over taxation without parliamentary representation and the denial of other English rights evolved into the American Revolution, which led to the July 2, 1776, Lee Resolution formally declaring independence from Great Britain. This was followed two days later by the public release of the Declaration of Independence. Victory in the 1775–1783 Revolutionary War brought international recognition of the country's sovereignty. Rapid westward territorial expansion followed the purchase, settlement, and conquest of European-held or Indigenous-controlled territory. As more states were admitted into the Union, a North–South division over slavery led 11 Southern states to declare secession and join as the Confederate States of America in order to preserve slavery there. These states fought against the Union in the American Civil War of 1861–1865 but were defeated. With the United States' victory and reunification, slavery was abolished nationally. By 1900, the country had established itself as a great power, a status solidified after its involvement during World War I. Following Japan's attack on Pearl Harbor in 1941, the U.S. entered World War II on the side of the Allies. Its aftermath left the U.S. and the Soviet Union as rival superpowers, competing for ideological dominance and international influence during the Cold War. The Soviet Union's collapse in 1991 left the U.S. the world's sole superpower, though China has recently emerged as a strong rival. The U.S. federal government is a representative democracy with a president and a constitution that creates a separation of powers among three branches: legislative, executive, and judicial. The United States Congress is a bicameral national legislature composed of the House of Representatives (a lower house based on population) and the Senate (an upper house based on equal representation for each state). Federalism grants substantial autonomy to the 50 states. In addition, 574 Native American tribes have sovereignty rights, and there are 326 Native American reservations. A developed country, the U.S. ranks high in economic competitiveness, innovation, and higher education. Accounting for over a quarter of nominal global GDP, the U.S. economy has been the world's largest since about 1890. It is the wealthiest country, with the highest disposable household income per capita among OECD members, though its wealth inequality is highly pronounced. Shaped by centuries of immigration, the culture of the U.S. is diverse and globally influential. Making up nearly a third of global military spending, the country is widely considered to have the most powerful armed forces in the world and was the first to develop and employ nuclear weapons. A member of numerous international organizations including the United Nations Security Council, it plays a major role in global political, cultural, economic, and military affairs.",https://upload.wikimedia.org/wikipedia/en/a/a4/Flag_of_the_United_States.svg
Donald Trump,"Donald John Trump (born June 14, 1946) is an American politician, media personality, and businessman who is the 47th president of the United States. A member of the Republican Party, he served as the 45th president from 2017 to 2021. Born into a wealthy New York City family, Trump graduated from the University of Pennsylvania in 1968 with a bachelor's degree in economics. He became the president of his family's real estate business in 1971, renamed it the Trump Organization, and began acquiring and building skyscrapers, hotels, casinos, and golf courses. He launched side ventures, many licensing the Trump name, and filed for six business bankruptcies in the 1990s and 2000s. From 2004 to 2015, he hosted the reality television show The Apprentice, bolstering his fame as a billionaire. Presenting himself as a political outsider, Trump won the 2016 presidential election against Democratic Party nominee Hillary Clinton. During his first presidency, Trump imposed a travel ban on seven Muslim-majority countries, expanded the Mexico–United States border wall, and enforced a family separation policy on the border. He rolled back environmental and business regulations, signed the Tax Cuts and Jobs Act, and appointed three Supreme Court justices. He withdrew the U.S. from agreements on climate and trade, and started a trade war with China. In response to the COVID-19 pandemic in 2020, he downplayed its severity, contradicted health officials, and signed the CARES Act. After losing the 2020 presidential election to Joe Biden, Trump refused to concede defeat and attempted to overturn the result, culminating in the January 6 Capitol attack in 2021. He was impeached twice—in 2019 for abuse of power and obstruction of Congress and in 2021 for incitement of insurrection—and acquitted by the Senate both times. In 2023, Trump was found liable in New York state civil cases for sexual abuse and defamation and for business fraud. In May 2024, he was found guilty in a New York state court on 34 counts of falsifying business records, making him the first U.S. president convicted of a felony. After winning the 2024 presidential election against Vice President Kamala Harris, he was given a no-penalty sentence, and two federal felony indictments for retention of classified documents and obstruction of the 2020 election were dismissed without prejudice. Trump began his second presidency by initiating mass layoffs of federal workers. He imposed tariffs on nearly all countries at the highest level since the Great Depression and signed the One Big Beautiful Bill Act. His administration's actions—including the targeting of political opponents and civil society, restriction of transgender rights, mass deportation of undocumented immigrants, and extensive use of executive orders—have drawn over 550 lawsuits challenging their legality. In Latin America, he pursued a legally contested campaign to attack alleged drug traffickers, and ordered a military raid into Venezuela to capture the country's president. In February 2026, he authorized joint U.S.–Israeli strikes on Iran that resulted in the 2026 Iran war. Since 2015, Trump's leadership style and political agenda—often referred to as Trumpism—have reshaped the Republican Party's identity. Many of his comments and actions have been characterized as racist or misogynistic. He has made many false or misleading statements during his campaigns and presidency, to a degree unprecedented in American politics, and promotes conspiracy theories. Trump's actions have been described by researchers as authoritarian and contributing to democratic backsliding. After his first term, scholars and historians ranked him as one of the worst presidents in American history.",https://upload.wikimedia.org/wikipedia/commons/e/e5/Donald_Trump_and_Doug_Flutie_at_a_press_conference_in_the_Trump_Tower.jpg
Wikipedia,"Wikipedia is a free online encyclopedia written and maintained by a community of volunteers, known as Wikipedians, through open collaboration and the wiki software MediaWiki. Founded by Jimmy Wales and Larry Sanger in 2001, Wikipedia has been hosted since 2003 by the Wikimedia Foundation, an American nonprofit organization funded mainly by donations from readers. Wikipedia is the largest and most read reference work in history. Initially available only in English, as of 2026, Wikipedia has grown to over 300 languages and is one of the world's most visited websites. The English Wikipedia, with over 7 million articles, remains the largest of the editions, which together comprise more than 67 million articles and attract more than 1.5 billion unique device visits and 13 million edits per month (about five edits per second on average)  as of April 2024. As of December 2025, over 25% of Wikipedia's traffic comes from the United States, while Japan accounts for nearly 7%, and the United Kingdom, Germany, and Russia each represent around 5%. Wikipedia has been praised for enabling the democratization of knowledge, its extensive coverage, unique structure, and culture. Wikipedia has been censored by some national governments, ranging from specific pages to the entire site, sometimes due to its criticism of the government or for content otherwise considered blasphemous. Although Wikipedia's volunteer editors have written extensively on a wide variety of topics, the encyclopedia has also been criticized for systemic bias, such as a gender bias against women and a geographical bias against the Global South. While the reliability of Wikipedia was frequently criticized in the 2000s, it has improved over time, receiving greater praise from the late 2010s onward. Articles on breaking news are often accessed as sources for up-to-date information about those events.",https://upload.wikimedia.org/wikipedia/commons/b/b8/English_Wikipedia_HomePage_2001-12-20.png
